Source,Astronomical epoch 1,Chronological relation,units,Astronomical epoch 2,Number of units
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron1,precedes,days,urn:cite2:chron:astron:2,354
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron2,precedes,days,urn:cite2:chron:astron:3,175
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:3,precedes,days,urn:cite2:chron:astron:4,36029
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:4,precedes,days,urn:cite2:chron:astron:5,35879
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:5,precedes,days,urn:cite2:chron:astron:6,7796
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:6,precedes,days,urn:cite2:chron:astron:7,3810
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:7,precedes,days,urn:cite2:chron:astron:9,39689
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:9,precedes,days,urn:cite2:chron:astron:10,176
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:10,precedes,days,urn:cite2:chron:astron:11,177
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:11,precedes,days,urn:cite2:chron:astron:12,66029
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:11,precedes,days,urn:cite2:chron:astron:30,178
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:30,precedes,days,urn:cite2:chron:astron:31,177
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:31,precedes,days,urn:cite2:chron:astron:32,9362
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:32,precedes,days,urn:cite2:chron:astron:33,10217
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:33,precedes,days,urn:cite2:chron:astron:39,1742
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:39,precedes,days,urn:cite2:chron:astron:42,2244
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:42,precedes,days,urn:cite2:chron:astron:43,94961
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:43,precedes,days,urn:cite2:chron:astron:54,2953
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:54,precedes,days,urn:cite2:chron:astron:63,562
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:63,precedes,days,urn:cite2:chron:astron:69,502
NASA Five Millennium Catalog of Lunar Eclipses,urn:cite2:chron:astron:69,precedes,days,urn:cite2:chron:astron:73,354
