Source,Event1,Relation,Units,Event2,Number of units
Canon of Kings,end of reign of Nabonasar,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,14
Canon of Kings,end of reign of Nadios,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,16
Canon of Kings,end of reign of Chinzeros and of Poros,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,21
Canon of Kings,end of reign of Iougaios,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,26
Canon of Kings,end of reign of Mardokempados,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,38
Canon of Kings,end of reign of Arkaianos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,43
Canon of Kings,end of reign of the first not ruled by a king,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,45
Canon of Kings,end of reign of Belibos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,48
Canon of Kings,end of reign of Apaanadios,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,54
Canon of Kings,end of reign of Regebelos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,55
Canon of Kings,end of reign of Mesessemopdakos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,59
Canon of Kings,end of reign of the second not ruled by a king,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,67
Canon of Kings,end of reign of Asapidinos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,80
Canon of Kings,end of reign of Saosdouchinos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,100
Canon of Kings,end of reign of Kiniladanos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,122
Canon of Kings,end of reign of Nabopollasaros,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,143
Canon of Kings,end of reign of Nabokolasaros,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,186
Canon of Kings,end of reign of Illoaroudamos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,188
Canon of Kings,end of reign of Nepikasolassapos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,192
Canon of Kings,end of reign of Nabonadios of the Persos kings,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,209
Canon of Kings,end of reign of Kyros,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,218
Canon of Kings,end of reign of Kambusos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,226
Canon of Kings,end of reign of Darios the First,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,262
Canon of Kings,end of reign of Xerxos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,283
Canon of Kings,end of reign of Artaxerxos the First,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,324
Canon of Kings,end of reign of Darios the Second,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,343
Canon of Kings,end of reign of Artaxerxos the Second,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,389
Canon of Kings,end of reign of Ochos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,410
Canon of Kings,end of reign of Arogos,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,412
Canon of Kings,end of reign of Darios the Third,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,416
Canon of Kings,end of reign of Alexandros the Macedonian,follows,epoch of Nabonassar,urn:cite2:chron:epoch:ptol1,424
