Source,Event,Chronological relation,Units or system,Event2,Number of units
Canon of Kings,end of reign of Philippos who was after the founder Alexandros,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,7
Canon of Kings,end of reign of Of the other Alexandros,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,19
Canon of Kings,end of reign of Ptolemy of Lagos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,39
Canon of Kings,end of reign of Ptolemy Philadelphos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,77
Canon of Kings,end of reign of Euergetes the First,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,102
Canon of Kings,end of reign of Philopator,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,119
Canon of Kings,end of reign of Epiphanis,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,143
Canon of Kings,end of reign of Philometor,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,178
Canon of Kings,end of reign of Euergetes the Second,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,207
Canon of Kings,end of reign of Soter,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,243
Canon of Kings,end of reign of The Young Dionysos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,272
Canon of Kings,end of reign of Cleopatra became queen of Rhomaios,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,294
Canon of Kings,end of reign of Augoustos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,337
Canon of Kings,end of reign of Tiberios,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,359
Canon of Kings,end of reign of Gaios Ioulios Kesar,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,363
Canon of Kings,end of reign of Claudios,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,377
Canon of Kings,end of reign of Of Nero,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,391
Canon of Kings,end of reign of Ouespysianos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,401
Canon of Kings,end of reign of Titos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,404
Canon of Kings,end of reign of Dometianos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,419
Canon of Kings,end of reign of Nerouas,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,420
Canon of Kings,end of reign of Traianos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,439
Canon of Kings,end of reign of Adrianos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,460
Canon of Kings,end of reign of Ailios Antoninos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,483
Canon of Kings,end of reign of Marcos ,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,515
Canon of Kings,end of reign of Seueros and Antoninos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,540
Canon of Kings,end of reign of The young Antoninos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,544
Canon of Kings,end of reign of Alexandros the Mamaias,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,557
Canon of Kings,end of reign of Maximinos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,560
Canon of Kings,end of reign of Gordianos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,566
Canon of Kings,end of reign of Philippos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,573
Canon of Kings,end of reign of Dekios,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,574
Canon of Kings,end of reign of Galos and Billousianos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,576
Canon of Kings,end of reign of Oualerios and Gallinos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,591
Canon of Kings,end of reign of Claudios,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,592
Canon of Kings,end of reign of Aurilios,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,598
Canon of Kings,end of reign of Probos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,605
Canon of Kings,end of reign of Karos and Karinos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,607
Canon of Kings,end of reign of Of Diocletianos and Konstantios,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,631
Canon of Kings,end of reign of Konstantinos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,660
Canon of Kings,end of reign of Konstantinos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,684
Canon of Kings,end of reign of And the sons,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,687
Canon of Kings,end of reign of Iobianos,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,687
Canon of Kings,end of reign of Oualentinianos and Bales,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,697
Canon of Kings,end of reign of Oualentos and Gratianos in Rome,follows,epoch of Philip,urn:cite2:chron:epoch:ptol2,701

